Team,Market Value(£),Year
Manchester City,370.65,2014
Arsenal FC,345.49,2014
Chelsea FC,373.59,2014
Liverpool FC,278.46,2014
Manchester United,387.03,2014
Tottenham Hotspur,223.23,2014
Newcastle United,105.84,2014
Brighton & Hove Albion,17.89,2014
Aston Villa,85.68,2014
West Ham United,91.35,2014
Nottingham Forest,36.04,2014
Manchester City,357.21,2015
Arsenal FC,336.21,2015
Chelsea FC,424.83,2015
Liverpool FC,267.54,2015
Manchester United,365.61,2015
Tottenham Hotspur,236.75,2015
Newcastle United,108.36,2015
Brighton & Hove Albion,13.69,2015
Aston Villa,83.37,2015
West Ham United,97.69,2015
Nottingham Forest,29.44,2015
Manchester City,368.13,2015
Arsenal FC,343.56,2015
Chelsea FC,475.02,2015
Liverpool FC,308.49,2015
Manchester United,384.09,2015
Tottenham Hotspur,241.16,2015
Newcastle United,133.14,2015
Aston Villa,84.88,2015
Brighton & Hove Albion,19.53,2015
West Ham United,121.38,2015
Crystal Palace,95.76,2015
Manchester City,421.64,2016
Arsenal FC,375.69,2016
Chelsea FC,433.44,2016
Liverpool FC,304.21,2016
Manchester United,355.11,2016
Tottenham Hotspur,266.62,2016
Newcastle United,157.08,2016
Aston Villa,94.71,2016
Brighton & Hove Albion,29.06,2016
West Ham United,139.73,2016
Crystal Palace,106.41,2016
Manchester City,454.86,2016
Arsenal FC,414.5,2016
Chelsea FC,469.39,2016
Liverpool FC,363.26,2016
Manchester United,394.17,2016
Tottenham Hotspur,322.43,2016
Newcastle United,137.76,2016
Aston Villa,89.0,2016
Brighton & Hove Albion,30.24,2016
West Ham United,150.39,2016
Crystal Palace,118.1,2016
Manchester City,464.73,2017
Arsenal FC,442.68,2017
Chelsea FC,441.63,2017
Liverpool FC,333.65,2017
Manchester United,400.26,2017
Tottenham Hotspur,360.36,2017
Newcastle United,107.94,2017
Aston Villa,79.8,2017
Brighton & Hove Albion,42.46,2017
West Ham United,180.98,2017
Crystal Palace,144.63,2017
Manchester City,539.28,2017
Arsenal FC,483.0,2017
Chelsea FC,508.24,2017
Liverpool FC,384.3,2017
Manchester United,469.43,2017
Tottenham Hotspur,388.92,2017
Newcastle United,118.02,2017
Aston Villa,83.79,2017
Brighton & Hove Albion,51.41,2017
West Ham United,200.26,2017
Crystal Palace,144.44,2017
Manchester City,848.4,2018
Arsenal FC,440.79,2018
Chelsea FC,693.21,2018
Liverpool FC,621.18,2018
Manchester United,672.42,2018
Tottenham Hotspur,680.82,2018
Newcastle United,139.02,2018
Aston Villa,64.68,2018
Brighton & Hove Albion,115.67,2018
West Ham United,186.06,2018
Crystal Palace,164.92,2018
Manchester City,890.4,2018
Arsenal FC,489.05,2018
Chelsea FC,805.56,2018
Liverpool FC,766.5,2018
Manchester United,712.32,2018
Tottenham Hotspur,700.98,2018
Newcastle United,132.47,2018
Aston Villa,63.25,2018
Brighton & Hove Albion,142.04,2018
West Ham United,258.3,2018
Crystal Palace,150.64,2018
Manchester City,957.6,2019
Arsenal FC,540.12,2019
Chelsea FC,820.47,2019
Liverpool FC,811.65,2019
Manchester United,682.5,2019
Tottenham Hotspur,705.6,2019
Newcastle United,167.16,2019
Aston Villa,82.11,2019
Brighton & Hove Albion,148.85,2019
West Ham United,282.24,2019
Crystal Palace,198.41,2019
Manchester City,1041.6,2019
Arsenal FC,513.03,2019
Chelsea FC,725.55,2019
Liverpool FC,907.2,2019
Manchester United,672.92,2019
Tottenham Hotspur,759.36,2019
Newcastle United,183.61,2019
Aston Villa,131.46,2019
Brighton & Hove Albion,158.3,2019
West Ham United,289.59,2019
Crystal Palace,181.19,2019
Manchester City,865.2,2020
Arsenal FC,479.93,2020
Chelsea FC,573.13,2020
Liverpool FC,837.44,2020
Manchester United,539.94,2020
Tottenham Hotspur,600.1,2020
Newcastle United,212.76,2020
Aston Villa,191.31,2020
Brighton & Hove Albion,164.47,2020
West Ham United,250.7,2020
Crystal Palace,145.74,2020
Manchester City,865.2,2020
Arsenal FC,480.35,2020
Chelsea FC,698.0,2020
Liverpool FC,856.8,2020
Manchester United,612.09,2020
Tottenham Hotspur,586.61,2020
Newcastle United,186.73,2020
Aston Villa,196.98,2020
Brighton & Hove Albion,196.73,2020
West Ham United,257.25,2020
Crystal Palace,150.72,2020
Manchester City,865.2,2021
Arsenal FC,480.56,2021
Chelsea FC,729.9,2021
Liverpool FC,823.2,2021
Manchester United,631.72,2021
Tottenham Hotspur,579.43,2021
Newcastle United,200.93,2021
Aston Villa,314.33,2021
Brighton & Hove Albion,228.98,2021
West Ham United,224.49,2021
Crystal Palace,160.76,2021
Manchester City,840.0,2021
Arsenal FC,464.52,2021
Chelsea FC,753.06,2021
Liverpool FC,759.78,2021
Manchester United,732.69,2021
Tottenham Hotspur,564.48,2021
Newcastle United,195.64,2021
Aston Villa,360.61,2021
Brighton & Hove Albion,210.92,2021
West Ham United,239.19,2021
Crystal Palace,178.46,2021
Manchester City,805.81,2022
Arsenal FC,437.64,2022
Chelsea FC,730.3,2022
Liverpool FC,779.1,2022
Manchester United,650.37,2022
Tottenham Hotspur,497.49,2022
Newcastle United,243.94,2022
Aston Villa,390.1,2022
Brighton & Hove Albion,233.02,2022
West Ham United,293.54,2022
Crystal Palace,198.03,2022
Manchester City,856.8,2022
Arsenal FC,593.63,2022
Chelsea FC,701.15,2022
Liverpool FC,730.8,2022
Manchester United,610.51,2022
Tottenham Hotspur,636.13,2022
Newcastle United,280.22,2022
Aston Villa,426.8,2022
Brighton & Hove Albion,234.95,2022
West Ham United,322.56,2022
Crystal Palace,230.83,2022
Manchester City,890.4,2023
Arsenal FC,784.56,2023
Chelsea FC,856.8,2023
Liverpool FC,738.36,2023
Manchester United,717.95,2023
Tottenham Hotspur,571.45,2023
Newcastle United,423.11,2023
Aston Villa,389.17,2023
Brighton & Hove Albion,292.82,2023
West Ham United,380.52,2023
Crystal Palace,251.58,2023
Manchester City,974.4,2023
Arsenal FC,1016.4,2023
Chelsea FC,738.78,2023
Liverpool FC,667.63,2023
Manchester United,711.56,2023
Tottenham Hotspur,649.57,2023
Newcastle United,483.67,2023
Aston Villa,494.34,2023
Brighton & Hove Albion,390.52,2023
West Ham United,304.84,2023
Crystal Palace,251.54,2023
Manchester City,1108.8,2024
Arsenal FC,974.4,2024
Chelsea FC,776.16,2024
Liverpool FC,791.2,2024
Manchester United,603.67,2024
Tottenham Hotspur,666.37,2024
Newcastle United,545.12,2024
Aston Villa,550.7,2024
Brighton & Hove Albion,429.87,2024
West Ham United,369.26,2024
Crystal Palace,371.03,2024
