Team,Age,Year
Arsenal FC,26.1,2015
Aston Villa,26.3,2015
Burnley FC,27.2,2015
Chelsea FC,27.0,2015
Crystal Palace,27.8,2015
Everton FC,27.9,2015
Hull City,27.4,2015
Leicester City,27.9,2015
Liverpool FC,25.2,2015
Manchester City,28.6,2015
Manchester United,26.0,2015
Newcastle United,25.9,2015
QPR,28.2,2015
Southampton FC,26.0,2015
Stoke City,27.4,2015
Sunderland AFC,27.8,2015
Swansea City,26.6,2015
Tottenham Hotspur,24.4,2015
West Bromwich Albion,28.0,2015
West Ham United,26.8,2015
Arsenal FC,27.0,2016
Aston Villa,26.6,2016
AFC Bournemouth,27.7,2016
Chelsea FC,26.8,2016
Crystal Palace,27.7,2016
Everton FC,26.5,2016
Leicester City,27.7,2016
Liverpool FC,25.2,2016
Manchester City,28.3,2016
Manchester United,25.6,2016
Newcastle United,25.4,2016
Norwich City,27.7,2016
Southampton FC,26.4,2016
Stoke City,27.4,2016
Sunderland AFC,27.3,2016
Swansea City,27.6,2016
Tottenham Hotspur,24.5,2016
Watford FC,28.2,2016
West Bromwich Albion,29.1,2016
West Ham United,26.6,2016
Arsenal FC,26.9,2017
AFC Bournemouth,27.0,2017
Burnley FC,27.7,2017
Chelsea FC,27.2,2017
Crystal Palace,27.7,2017
Everton FC,27.5,2017
Hull City,27.4,2017
Leicester City,27.8,2017
Liverpool FC,26.1,2017
Manchester City,28.5,2017
Manchester United,26.7,2017
Middlesbrough FC,27.3,2017
Southampton FC,26.0,2017
Stoke City,28.7,2017
Sunderland AFC,26.8,2017
Swansea City,27.4,2017
Tottenham Hotspur,25.3,2017
Watford FC,29.0,2017
West Bromwich Albion,29.4,2017
West Ham United,27.1,2017
Arsenal FC,26.8,2018
AFC Bournemouth,26.9,2018
Brighton & Hove Albion,27.5,2018
Burnley FC,27.5,2018
Chelsea FC,26.7,2018
Crystal Palace,27.1,2018
Everton FC,26.7,2018
Huddersfield Town,26.4,2018
Leicester City,27.2,2018
Liverpool FC,25.6,2018
Manchester City,26.4,2018
Manchester United,26.7,2018
Newcastle United,25.6,2018
Southampton FC,26.2,2018
Stoke City,27.5,2018
Swansea City,27.2,2018
Tottenham Hotspur,25.8,2018
Watford FC,27.9,2018
West Bromwich Albion,29.1,2018
West Ham United,28.0,2018
Arsenal FC,26.7,2019
AFC Bournemouth,26.6,2019
Brighton & Hove Albion,27.4,2019
Burnley FC,28.0,2019
Cardiff City,27.7,2019
Chelsea FC,27.3,2019
Crystal Palace,27.4,2019
Everton FC,25.7,2019
Fulham FC,26.0,2019
Huddersfield Town,26.2,2019
Leicester City,25.9,2019
Liverpool FC,26.1,2019
Manchester City,26.7,2019
Manchester United,26.3,2019
Newcastle United,26.9,2019
Southampton FC,25.4,2019
Tottenham Hotspur,26.8,2019
Watford FC,28.5,2019
West Ham United,27.6,2019
Wolverhampton Wanderers,26.1,2019
Arsenal FC,25.8,2020
Aston Villa,25.7,2020
AFC Bournemouth,25.2,2020
Brighton & Hove Albion,26.4,2020
Burnley FC,28.0,2020
Chelsea FC,25.5,2020
Crystal Palace,29.4,2020
Everton FC,25.5,2020
Leicester City,26.1,2020
Liverpool FC,26.6,2020
Manchester City,26.9,2020
Manchester United,24.8,2020
Newcastle United,26.5,2020
Norwich City,26.0,2020
Sheffield United,26.9,2020
Southampton FC,25.9,2020
Tottenham Hotspur,26.7,2020
Watford FC,28.9,2020
West Ham United,27.4,2020
Wolverhampton Wanderers,26.6,2020
Arsenal FC,25.9,2021
Aston Villa,25.2,2021
Brighton & Hove Albion,25.8,2021
Burnley FC,28.3,2021
Chelsea FC,26.0,2021
Crystal Palace,29.1,2021
Everton FC,26.3,2021
Fulham FC,25.2,2021
Leeds United,26.1,2021
Leicester City,26.5,2021
Liverpool FC,26.8,2021
Manchester City,26.1,2021
Manchester United,25.6,2021
Newcastle United,27.1,2021
Sheffield United,26.7,2021
Southampton FC,26.6,2021
Tottenham Hotspur,27.2,2021
West Bromwich Albion,26.4,2021
West Ham United,27.8,2021
Wolverhampton Wanderers,26.3,2021
Arsenal FC,24.4,2022
Aston Villa,26.1,2022
Brentford FC,25.4,2022
Brighton & Hove Albion,26.2,2022
Burnley FC,28.5,2022
Chelsea FC,27.4,2022
Crystal Palace,27.1,2022
Everton FC,26.7,2022
Leeds United,26.1,2022
Leicester City,26.5,2022
Liverpool FC,27.7,2022
Manchester City,27.0,2022
Manchester United,27.2,2022
Newcastle United,27.5,2022
Norwich City,26.2,2022
Southampton FC,25.7,2022
Tottenham Hotspur,26.5,2022
Watford FC,28.4,2022
West Ham United,28.2,2022
Wolverhampton Wanderers,27.3,2022
Arsenal FC,24.7,2023
