Name,Height(cm),Team,Year
Dan Burn,201,Newcastle United,2024
Fraser Forster,201,Tottenham Hotspur,2024
Altay Bayındır,198,Manchester United,2024
Wayne Hennessey,198,Nottingham Forest,2024
Aro Murić,198,Burnley FC,2024
Nick Pope,198,Newcastle United,2024
Jordan Amissah,197,Sheffield United,2024
 Robert Sánchez,197,Chelsea FC,2024
James Trafford,197,Burnley FC,2024
Tosin Adarabioyo,196,Fulham FC,2024
Kristoffer Ajer,196,Brentford FC,2024
Tyrone Mings,196,Aston Villa,2024
Robin Olsen,196,Aston Villa,2024
Tyler Onyango,196,Everton FC,2024
Alphonse Aréola,195,West Ham United,2024
Sander Berge,195,Burnley FC,2024
Willy Boly,195,Nottingham Forest,2024
Sven Botman,195,Newcastle United,2024
Jarrad Branthwaite,195,Everton FC,2024
Ivo Grbić,195,Sheffield United,2024
James Huntley,195,Newcastle United,2024
Emiliano Martínez,195,Aston Villa,2024
Joel Matip,195,Liverpool FC,2024
Amadou Onana,195,Everton FC,2024
Hákon Valdimarsson,195,Brentford FC,2024
Rhys Williams,195,Liverpool FC,2024
Mads Andersen,194,Luton Town,2024
Benoît Badiashile,194,Chelsea FC,2024
 Beto,194,Everton FC,2024
Issa Diop,194,Fulham FC,2024
Mark Flekken,194,Brentford FC,2024
Joe Gauci,194,Aston Villa,2024
Erling Haaland,194,Manchester City,2024
Maximilian Kilman,194,Wolverhampton Wanderers,2024
Ibrahima Konaté,194,Liverpool FC,2024
Harry Maguire,194,Manchester United,2024
Konstantinos Mavropanos,194,West Ham United,2024
Đorđe Petrović,194,Chelsea FC,2024
Marek Rodák,194,Fulham FC,2024
Guglielmo Vicario,194,Tottenham Hotspur,2024
Lawrence Vigouroux,194,Burnley FC,2024
Elijah Adebayo,193,Luton Town,2024
Daniel Bentley,193,Wolverhampton Wanderers,2024
Marcus Bettinelli,193,Chelsea FC,2024
Philip Billing,193,AFC Bournemouth,2024
Nathan Collins,193,Brentford FC,2024
Kai Havertz,193,Arsenal FC,2024
Karl Hein,193,Arsenal FC,2024
Sam Johnstone,193,Crystal Palace,2024
Andy Lonergan,193,Everton FC,2024
Micky van de Ven,193,Tottenham Hotspur,2024
Virgil van Dijk,193,Liverpool FC,2024
Bart Verbruggen,193,Brighton & Hove Albion,2024
Joachim Andersen,192,Crystal Palace,2024
Steven Benda,192,Fulham FC,2024
Santiago Bueno,192,Wolverhampton Wanderers,2024
Trevoh Chalobah,192,Chelsea FC,2024
Lewis Dunk,192,Brighton & Hove Albion,2024
Maxime Estève,192,Burnley FC,2024
Travis Hernes,192,Newcastle United,2024
Alexander Isak,192,Newcastle United,2024
 João Virgínia,192,Everton FC,2024
 José Sá,192,Wolverhampton Wanderers,2024
Willy Kambwala,192,Manchester United,2024
Jacob Knightbridge,192,West Ham United,2024
Jean-Philippe Mateta,192,Crystal Palace,2024
Remi Matthews,192,Crystal Palace,2024
Fabian Mrozek,192,Liverpool FC,2024
William Saliba,192,Arsenal FC,2024
Tomáš Souček,192,West Ham United,2024
James Tomkins,192,Crystal Palace,2024
Joe Whitworth,192,Crystal Palace,2024
 Alisson Becker,191,Liverpool FC,2024
Armando Broja,191,Fulham FC,2024
Radu Drăgușin,191,Tottenham Hotspur,2024
Martin Dúbravka,191,Newcastle United,2024
Mark Gillespie,191,Newcastle United,2024
Harvey Griffiths,191,Wolverhampton Wanderers,2024
Kortney Hause,191,Aston Villa,2024
Rasmus Højlund,191,Manchester United,2024
Loris Karius,191,Newcastle United,2024
Omari Kellyman,191,Aston Villa,2024
Scott McTominay,191,Manchester United,2024
Chris Mepham,191,AFC Bournemouth,2024
Jakub Moder,191,Brighton & Hove Albion,2024
Angelo Ogbonna,191,West Ham United,2024
Temple Ojinnaka,191,Wolverhampton Wanderers,2024
 Pau Torres,191,Aston Villa,2024
 Rodri,191,Manchester City,2024
Ibrahim Sangaré,191,Nottingham Forest,2024
Sil Swinkels,191,Aston Villa,2024
Mark Travers,191,AFC Bournemouth,2024
Auston Trusty,191,Sheffield United,2024
Matt Turner,191,Nottingham Forest,2024
Lesley Ugochukwu,191,Chelsea FC,2024
Raphaël Varane,191,Manchester United,2024
Adam Webster,191,Brighton & Hove Albion,2024
Chris Wood,191,Nottingham Forest,2024
 Adrián,190,Liverpool FC,2024
Nayef Aguerd,190,West Ham United,2024
Anel Ahmedhodžić,190,Sheffield United,2024
Joseph Anang,190,West Ham United,2024
Ellery Balcombe,190,Brentford FC,2024
Chris Basham,190,Sheffield United,2024
Ted Curd,190,Chelsea FC,2024
Axel Disasi,190,Chelsea FC,2024
Łukasz Fabiański,190,West Ham United,2024
 Felipe Monteiro,190,Nottingham Forest,2024
 Gabriel Magalhães,190,Arsenal FC,2024
Ryan Gravenberch,190,Liverpool FC,2024
Benjamin Jackson,190,Brighton & Hove Albion,2024
Daniel Jebbison,190,Sheffield United,2024
Raúl Jiménez,190,Fulham FC,2024
 João Palhinha,190,Fulham FC,2024
Thomas Kaminski,190,Luton Town,2024
Lloyd Kelly,190,AFC Bournemouth,2024
Bernd Leno,190,Fulham FC,2024
 Neto,190,AFC Bournemouth,2024
Moussa Niakhaté,190,Nottingham Forest,2024
Andrew Omobamidele,190,Nottingham Forest,2024
André Onana,190,Manchester United,2024
Jarell Quansah,190,Liverpool FC,2024
Aaron Ramsdale,190,Arsenal FC,2024
Devan Tanton,190,Fulham FC,2024
Adam Wharton,190,Crystal Palace,2024
Ryan Yates,190,Nottingham Forest,2024
Nicolò Zaniolo,190,Aston Villa,2024
Kurt Zouma,190,West Ham United,2024
Vincent Angelini,189,Brentford FC,2024
Reece Burke,189,Luton Town,2024
